url,title,ingredients,칼로리,탄수화물,단백질,지방
https://www.10000recipe.com/recipe/6948579,짭조름하고 쫀득쫀득한 새송이버섯버터구이 만들기,"새송이버섯 2개, 식용유 적당량, 버터 10g, 진간장 1.5큰술, 맛술 1.5큰술",210,8,4,17
https://www.10000recipe.com/recipe/6911766,에어프라이어로 달콤한 허니버터 고구마 만들기,"고구마, 버터, 꿀, 피자치즈",1200,120,40,60
https://www.10000recipe.com/recipe/7001546,﻿아스파라거스 칵테일새우 볶음 밑반찬,"아스파라거스 85g, 칵테일새우 16개, 다진마늘 1/2큰술, 올리브유 2큰술, 굴소스 2큰술, 깨 1/2큰술",180,6,15,11
https://www.10000recipe.com/recipe/6928511,휘리릭~ 초 간단 맛살 볶음,"맛살 5줄, 대파 적당량, 굴소스, 통깨, 카놀라유",150,5,10,10
https://www.10000recipe.com/recipe/6842110,김구이와 달래양념장만있으면 밥한공기 뚝딱!,"달래 1/2줌, 홍고추 1/2개, 구운김 적당량, 간장 10T, 참기름 1T, 깨 1T, 매실청 3T, 마늘 1/2T, 고추가루 1T",123,15,4,5
https://www.10000recipe.com/recipe/6811239,바삭한 카레닭구이,"닭가슴살 2덩이, 카레가루 2수저, 밀가루or 전분가루 or 전분가루, 소금 약간, 후춧가루 약간, 오일",600kcal,40g,80g,10g
https://www.10000recipe.com/recipe/6900423,후다닥!!!두부 크래미 달걀볶음!,"두부 1/2모, 크래미 1봉지, 달걀 5개, 당근 조금, 깻잎 1장, 소금 1스푼, 식용류 2스푼, 후추가루 조금, 참기름 조금",1025,23,78,71
https://www.10000recipe.com/recipe/7036196,허니갈릭또띠아피자 레시피,"또띠아 1장, 다진마늘 2T, 꿀 1T, 올리브유 1T, 모짜렐라치즈 2T",410,26,17,27
https://www.10000recipe.com/recipe/6882848,시금치베이컨볶음,"시금치원하는 만큼 원하는 만큼, 통마늘 8개, 베이컨 3줄, 소금 약간, 식빵, 달걀",1120,84,56,64
https://www.10000recipe.com/recipe/5269045,짭쪼름하고 쫄깃해 입맛살리는 양념꼬막만들기,"꼬막 1kg, 굵은 소금 약간, 고춧가루 1/2큰술, 간장 3큰술, 참기름 1/2큰술, 생강즙 1/2큰술, 설탕 1/2작은술, 다진마늘 1/2작은술, 다진 홍고추 1/2큰술, 다진 부추 1큰술, 다진 양파 1큰술, 참깨 약간",1160,33,132,56
https://www.10000recipe.com/recipe/6861562,추억의 간식 피카츄돈까스 치킨너겟으로 그 맛을 재연하다,"치킨너겟 9개, 올리고당 2T, 케찹 2T, 고추장 0.5T, 다진 마늘 0.5T",1020,64,54,63
https://www.10000recipe.com/recipe/6977898,"고등학생 도시락, 스팸무스비, 나들이 도시락으로 추천","계란 3개, 스팸 1통, 김밥김 2장, 공기밥 1인분, 간장 1t, 맛술 1t, 설탕 1t, 참기름 1T, 소금 1꼬집, 통깨 약간",1345,155,58,56
